school_name,program_name,java,csharp_net,html,css,javascript,es6,jquery,nodejs,reactjs,redux,heroku,sql,mysql,postgress,mongodb,firebase,git,spring,api,applied_stats,python,r,regression,classification,clustering,time_series_analysis,anomaly_detection,language_processing,machine_learning,advanced_topics,story_telling_with_data,domain_expertise_development,employed_infield_180days,median_annual_salary180days,Skill_Set,skill_group,cluster_skills
The Tech Academy,Python Developer BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,65000.0,"['html', 'css', 'javascript', 'sql', 'python']",A,0
The Tech Academy,Data Science BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,45180.0,"['html', 'css', 'javascript', 'sql', 'applied_stats', 'python', 'r', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",B,4
Turing School of Software and Design,Back End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,75000.0,[],C,0
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,50000.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,90000.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4,60000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Data Science BootCamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.1,65000.0,"['sql', 'applied_stats', 'python', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",G,4
Codeup,Data Science BootCamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.3,71400.0,"['sql', 'applied_stats', 'python', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",G,4
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,72800.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.3,124900.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,64500.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9,55000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,67000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.5,62400.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Codeup,Full-Stack Web Development-Java,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,52000.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7,60000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,105000.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9,128000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2,70000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Turing School of Software and Design,Front End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6,80000.0,[],C,0
Juno College of Technology,Web Development Immersive,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1,60000.0,"['html', 'css', 'javascript', 'jquery', 'reactjs', 'firebase', 'git', 'api']",I,2
The Tech Academy,Software Developer BootCamp,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,57000.0,"['csharp_net', 'html', 'css', 'javascript', 'sql', 'python']",J,0
The Tech Academy,Front-End Web Developer BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6,37440.0,"['html', 'css', 'javascript', 'git']",K,0
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.4,124000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
The Tech Academy,Software Developer BootCamp,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,49920.0,"['csharp_net', 'html', 'css', 'javascript', 'sql', 'python']",J,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,65000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,65500.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,65000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Code Chrysalis,The Immersive Bootcamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,42382.0,"['html', 'css', 'javascript', 'nodejs', 'reactjs', 'sql', 'git', 'api']",L,2
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,55750.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Codeup,Full-Stack Web Development-Java,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,50000.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,60000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,53500.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,82500.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Launch Academy,Fundamentals of Web Development,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,70000.0,"['javascript', 'nodejs', 'reactjs', 'heroku', 'sql', 'postgress', 'git', 'api']",M,2
Codeup,Data Science BootCamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86.1,65000.0,"['sql', 'applied_stats', 'python', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",G,4
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,65000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.3,130000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Turing School of Software and Design,Back End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,86500.0,[],C,0
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,140000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
The Tech Academy,Python Developer BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8,52000.0,"['html', 'css', 'javascript', 'sql', 'python']",A,0
The Tech Academy,C# and .NET Boot Camp,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,55000.0,"['csharp_net', 'html', 'css', 'sql']",N,0
Codesmith,Part-Time Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,125000.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3,75000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Turing School of Software and Design,Front End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,80000.0,[],C,0
Juno College of Technology,Web Development Immersive,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7,56160.0,"['html', 'css', 'javascript', 'jquery', 'reactjs', 'firebase', 'git', 'api']",I,2
The Tech Academy,Software Developer BootCamp,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,57500.0,"['csharp_net', 'html', 'css', 'javascript', 'sql', 'python']",J,0
The Tech Academy,Software Developer BootCamp,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,57500.0,"['csharp_net', 'html', 'css', 'javascript', 'sql', 'python']",J,0
Juno College of Technology,Data Analytics Bootcamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.7,67500.0,"['sql', 'python', 'story_telling_with_data']",O,0
The Tech Academy,Front-End Web Developer BootCamp,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9,39720.0,"['html', 'css', 'javascript', 'git']",K,0
The Tech Academy,C# and .NET Boot Camp,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2,55016.0,"['csharp_net', 'html', 'css', 'sql']",N,0
Codesmith,Full-Stack Web Development,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,137600.0,"['es6', 'nodejs', 'reactjs', 'redux', 'postgress', 'mongodb']",H,1
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,70000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1,60000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Full-Stack Web Development-Java,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.2,57120.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Launch Academy,Fundamentals of Web Development,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6,72500.0,"['javascript', 'nodejs', 'reactjs', 'heroku', 'sql', 'postgress', 'git', 'api']",M,2
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.2,69250.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,74000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,62000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Codeup,Full-Stack Web Development,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,56160.0,"['java', 'html', 'css', 'javascript', 'jquery', 'mysql', 'git', 'spring']",D,3
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,70500.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Code Platoon,Full-Stack Web Development,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,85500.0,"['html', 'css', 'javascript', 'reactjs', 'sql', 'postgress', 'git', 'python']",E,2
Codeup,Data Science BootCamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85.0,73000.0,"['sql', 'applied_stats', 'python', 'regression', 'classification', 'clustering', 'time_series_analysis', 'anomaly_detection', 'language_processing', 'machine_learning', 'advanced_topics', 'story_telling_with_data', 'domain_expertise_development']",G,4
Turing School of Software and Design,Front End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4,90000.0,[],C,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1,61200.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Tech Elevator,Full-Stack Software Development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,65000.0,"['java', 'csharp_net', 'html', 'css', 'javascript', 'sql']",F,0
Turing School of Software and Design,Back End Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7,85000.0,[],C,0
